File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput
FSNSC_1_1800_3600.f32,CESM,0.824,30.776,0.173,200.596,0.876,30.498,1.873,13.596,0.344,84.2,2.217,11.554
TMQ_1_1800_3600.f32,CESM,0.673,36.298,0.098,248.096,0.71,36.058,1.481,16.716,0.326,84.096,1.807,13.578
PRECL_1_1800_3600.f32,CESM,0.761,33.07,0.093,262.458,0.68,36.118,1.533,15.974,0.253,95.934,1.786,13.676
FLDSC_1_1800_3600.f32,CESM,0.996,29.344,0.102,235.894,0.674,37.138,1.772,14.534,0.218,121.194,1.99,12.924
ODV_bcar2_1_1800_3600.f32,CESM,0.785,33.932,0.094,262.108,0.702,37.212,1.58,16.556,0.344,79.902,1.924,13.28
SNOWHLND_1_1800_3600.f32,CESM,0.872,31.422,0.094,260.638,0.615,39.844,1.58,16.192,0.294,83.734,1.874,13.546
FLUTC_1_1800_3600.f32,CESM,0.675,36.698,0.124,218.894,0.731,34.544,1.531,16.416,0.255,96.8,1.785,13.954
OCNFRAC_1_1800_3600.f32,CESM,0.819,31.276,0.099,246.68,0.708,35.676,1.626,15.17,0.442,72.388,2.068,11.866
ODV_dust3_1_1800_3600.f32,CESM,0.762,33.758,0.088,276.656,0.659,37.276,1.508,16.556,0.344,82.698,1.852,13.4
TREFHT_1_1800_3600.f32,CESM,0.837,29.9,0.106,232.796,0.91,28.114,1.853,13.148,0.229,108.032,2.082,11.68
LWCF_1_1800_3600.f32,CESM,0.911,28.792,0.108,227.002,0.67,37.112,1.689,14.708,0.25,96.864,1.939,12.726
TGCLDLWP_1_1800_3600.f32,CESM,0.676,36.264,0.093,259.872,0.76,33.276,1.529,15.964,0.275,88.06,1.804,13.494
CLOUDf48.bin.f32,HURR,1.373,75.424,0.194,488.884,1.468,66.418,3.035,32.44,0.314,301.698,3.349,29.086
QVAPORf48.bin.f32,HURR,0.916,104.192,0.179,522.888,1.401,68.99,2.496,38.062,0.312,303.694,2.808,33.798
QGRAUPf48.bin.f32,HURR,0.878,110.192,0.183,514.394,1.332,70.648,2.393,39.596,0.256,364.546,2.649,35.666
QICEf48.bin.f32,HURR,1.113,88.722,0.214,464.518,1.362,69.488,2.689,35.116,0.282,330.658,2.972,31.688
QRAINf48.log10.bin.f32,HURR,0.983,97.272,0.183,515.306,1.529,62.874,2.695,34.998,0.291,320.694,2.986,31.526
QGRAUPf48.log10.bin.f32,HURR,1.076,91.694,0.276,422.81,1.454,65.068,2.806,33.902,0.313,306.142,3.119,30.448
QRAINf48.bin.f32,HURR,0.875,110.372,0.196,479.3,1.603,59.778,2.674,35.648,0.325,311.17,2.999,31.892
PRECIPf48.bin.f32,HURR,1.016,94.656,0.196,478.332,1.395,67.524,2.607,36.172,0.269,346.656,2.875,32.72
QICEf48.log10.bin.f32,HURR,1.063,89.126,0.2,468.532,1.702,57.028,2.965,31.858,0.276,338.078,3.24,29.084
QCLOUDf48.log10.bin.f32,HURR,0.795,117.25,0.216,467.97,1.188,78.434,2.199,42.448,0.337,308.26,2.535,36.884
Pf48.bin.f32,HURR,0.767,122.77,0.18,526.464,1.371,69.35,2.318,40.73,0.277,336.574,2.595,36.304
TCf48.bin.f32,HURR,0.909,103.29,0.2,471.472,1.82,54.02,2.929,32.31,0.311,317.142,3.24,29.23
PRECIPf48.log10.bin.f32,HURR,0.921,106.206,0.181,516.418,1.318,71.374,2.42,39.21,0.274,340.396,2.694,35.064
Uf48.bin.f32,HURR,0.906,108.674,0.225,446.698,1.621,58.71,2.751,34.842,0.376,265.964,3.127,30.688
QCLOUDf48.bin.f32,HURR,0.955,98.182,0.19,496.618,1.352,70.664,2.496,37.602,0.287,327.252,2.783,33.684
Wf48.bin.f32,HURR,0.871,111.258,0.189,496.04,1.501,64.316,2.561,36.734,0.285,327.958,2.846,33.004
Vf48.bin.f32,HURR,0.892,106.576,0.195,481.784,1.566,63.794,2.653,36.438,0.288,323.862,2.942,32.648
CLOUDf48.log10.bin.f32,HURR,1.042,93.606,0.191,492.72,1.287,74.39,2.52,37.516,0.269,346.144,2.789,33.788
QSNOWf48.bin.f32,HURR,0.844,110.788,0.186,502.038,1.365,69.294,2.395,39.076,0.281,333.25,2.676,34.906
QSNOWf48.log10.bin.f32,HURR,0.947,101.75,0.22,445.212,1.531,63.17,2.698,35.126,0.275,339.02,2.974,31.776
