File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput
LWCF_1_1800_3600.f32,CESM,0.528,45.756,0.185,130.698,0.48,50.246,1.193,20.236,0.22,109.546,1.413,17.082
PCONVT_1_1800_3600.f32,CESM,0.542,44.592,0.186,130.088,0.483,49.976,1.21,19.946,0.164,147.07,1.374,17.564
ODV_sulf_1_1800_3600.f32,CESM,0.542,44.564,0.179,134.682,0.468,51.624,1.189,20.308,0.257,93.914,1.446,16.696
TAUX_1_1800_3600.f32,CESM,0.52,46.43,0.184,130.946,0.475,50.848,1.179,20.476,0.287,84.138,1.466,16.466
FLNTC_1_1800_3600.f32,CESM,0.546,44.246,0.189,127.908,0.477,50.556,1.212,19.918,0.197,122.764,1.409,17.136
FSDS_1_1800_3600.f32,CESM,0.529,45.614,0.185,130.234,0.481,50.182,1.196,20.19,0.235,102.704,1.431,16.872
QFLX_1_1800_3600.f32,CESM,0.528,45.716,0.187,129.51,0.472,51.092,1.187,20.334,0.277,87.03,1.465,16.484
SHFLX_1_1800_3600.f32,CESM,0.541,44.618,0.183,132.074,0.466,51.872,1.19,20.296,0.287,84.018,1.477,16.348
TMQ_1_1800_3600.f32,CESM,0.524,46.064,0.19,127.264,0.475,50.82,1.189,20.296,0.209,115.428,1.399,17.262
ICEFRAC_1_1800_3600.f32,CESM,0.528,45.7,0.181,133.73,0.48,50.344,1.188,20.314,0.29,83.242,1.478,16.328
FLNT_1_1800_3600.f32,CESM,0.556,43.488,0.189,127.586,0.48,50.3,1.225,19.714,0.145,166.182,1.37,17.622
ODV_bcar2_1_1800_3600.f32,CESM,0.548,44.048,0.181,133.816,0.471,51.314,1.2,20.128,0.259,93.312,1.458,16.556
PRECC_1_1800_3600.f32,CESM,0.552,43.776,0.185,130.788,0.483,49.982,1.219,19.8,0.223,108.162,1.443,16.738
PSL_1_1800_3600.f32,CESM,0.533,45.29,0.186,129.666,0.472,51.14,1.192,20.264,0.075,322.634,1.267,19.064
ODV_ocar2_1_1800_3600.f32,CESM,0.531,45.534,0.177,136.642,0.463,52.108,1.171,20.626,0.261,92.634,1.431,16.87
PRECSH_1_1800_3600.f32,CESM,0.524,46.086,0.185,130.512,0.475,50.772,1.185,20.384,0.227,106.528,1.411,17.104
FREQZM_1_1800_3600.f32,CESM,0.528,45.73,0.185,130.676,0.485,49.824,1.197,20.166,0.253,95.406,1.451,16.642
FSNSC_1_1800_3600.f32,CESM,0.538,44.928,0.189,127.926,0.476,50.668,1.203,20.076,0.239,101.074,1.442,16.746
ODV_dust1_1_1800_3600.f32,CESM,0.538,44.866,0.178,136.008,0.467,51.716,1.183,20.412,0.258,93.452,1.441,16.752
QREFHT_1_1800_3600.f32,CESM,0.528,45.766,0.187,129.456,0.475,50.814,1.189,20.3,0.217,111.46,1.406,17.174
FSDSC_1_1800_3600.f32,CESM,0.536,45.118,0.184,131.162,0.469,51.524,1.188,20.322,0.144,167.508,1.332,18.122
PHIS_1_1800_3600.f32,CESM,0.529,45.626,0.184,131.066,0.475,50.778,1.189,20.308,0.221,109.25,1.41,17.122
FLNS_1_1800_3600.f32,CESM,0.545,44.272,0.186,129.904,0.488,49.434,1.22,19.796,0.277,87.164,1.497,16.132
FSNTOAC_1_1800_3600.f32,CESM,0.534,45.176,0.188,128.61,0.477,50.664,1.199,20.14,0.224,107.58,1.423,16.966
TAUY_1_1800_3600.f32,CESM,0.505,48.206,0.183,131.724,0.475,50.782,1.164,20.772,0.28,86.356,1.443,16.738
TREFHT_1_1800_3600.f32,CESM,0.523,46.124,0.183,132.084,0.472,51.13,1.178,20.486,0.125,193.56,1.303,18.528
SWCF_1_1800_3600.f32,CESM,0.522,46.266,0.186,130.124,0.487,49.602,1.194,20.218,0.271,89.02,1.465,16.476
SRFRAD_1_1800_3600.f32,CESM,0.525,45.96,0.184,131.15,0.478,50.546,1.187,20.338,0.173,139.712,1.36,17.754
zz.dat2.f32,EXAALT,0.566,42.634,0.175,138.124,0.488,49.484,1.229,19.646,0.279,86.65,1.507,16.014
yy.dat2.f32,EXAALT,0.573,42.126,0.177,136.616,0.497,48.576,1.247,19.366,0.282,85.492,1.529,15.786
xx.dat2.f32,EXAALT,0.566,42.634,0.173,140.034,0.488,49.474,1.227,19.678,0.279,86.536,1.506,16.032
xx.f32,HACC,0.535,45.118,0.187,128.938,0.504,47.882,1.227,19.682,0.231,104.59,1.457,16.564
vx.f32,HACC,0.566,42.668,0.183,132.136,0.519,46.492,1.268,19.044,0.284,84.938,1.552,15.558
vz.f32,HACC,0.559,43.164,0.182,132.964,0.517,46.676,1.258,19.188,0.286,84.292,1.545,15.628
vy.f32,HACC,0.559,43.154,0.183,131.884,0.522,46.254,1.265,19.092,0.287,84.13,1.552,15.562
yy.f32,HACC,0.529,45.684,0.185,130.71,0.506,47.714,1.219,19.8,0.267,90.248,1.487,16.238
zz.f32,HACC,0.581,41.548,0.19,126.926,0.494,48.888,1.265,19.082,0.293,82.278,1.559,15.488
QICEf48.bin.f32,HURR,0.527,45.844,0.183,132.16,0.473,51.07,1.182,20.424,0.281,85.802,1.463,16.496
QCLOUDf48.log10.bin.f32,HURR,0.574,42.086,0.184,131.298,0.476,50.76,1.233,19.576,0.29,83.282,1.523,15.85
CLOUDf48.bin.f32,HURR,0.534,45.232,0.183,132.062,0.476,50.684,1.193,20.24,0.287,84.248,1.479,16.316
CLOUDf48.log10.bin.f32,HURR,0.573,42.168,0.181,133.592,0.473,51.004,1.227,19.682,0.287,84.006,1.514,15.942
QICEf48.log10.bin.f32,HURR,0.535,45.136,0.181,133.31,0.475,50.834,1.191,20.272,0.294,82.058,1.485,16.256
QGRAUPf48.bin.f32,HURR,0.527,45.82,0.185,130.252,0.476,50.752,1.188,20.322,0.29,83.17,1.478,16.33
TCf48.bin.f32,HURR,0.536,45.048,0.186,129.596,0.501,48.208,1.223,19.734,0.293,82.47,1.516,15.924
QSNOWf48.log10.bin.f32,HURR,0.579,41.664,0.186,130.13,0.505,47.756,1.27,19.0,0.288,83.75,1.559,15.488
PRECIPf48.log10.bin.f32,HURR,0.582,41.478,0.185,130.434,0.509,47.402,1.276,18.912,0.289,83.428,1.566,15.42
QGRAUPf48.log10.bin.f32,HURR,0.584,41.322,0.188,128.402,0.511,47.288,1.283,18.818,0.29,83.292,1.573,15.35
Vf48.bin.f32,HURR,0.54,44.73,0.186,129.83,0.504,47.852,1.23,19.624,0.297,81.456,1.527,15.808
QVAPORf48.bin.f32,HURR,0.601,40.206,0.185,130.266,0.515,46.844,1.302,18.552,0.291,82.834,1.593,15.156
QCLOUDf48.bin.f32,HURR,0.536,45.062,0.183,131.692,0.478,50.52,1.197,20.168,0.29,83.286,1.487,16.236
QRAINf48.bin.f32,HURR,0.528,45.742,0.184,131.276,0.483,50.004,1.195,20.21,0.289,83.482,1.484,16.27
Uf48.bin.f32,HURR,0.557,43.364,0.185,130.268,0.505,47.834,1.247,19.362,0.295,81.756,1.542,15.656
PRECIPf48.bin.f32,HURR,0.527,45.788,0.184,130.896,0.485,49.74,1.197,20.164,0.288,83.926,1.485,16.258
Wf48.bin.f32,HURR,0.529,45.684,0.187,129.034,0.499,48.408,1.214,19.878,0.287,84.124,1.501,16.078
QSNOWf48.bin.f32,HURR,0.53,45.532,0.18,134.41,0.473,51.044,1.183,20.408,0.222,108.536,1.406,17.176
Pf48.bin.f32,HURR,0.551,43.83,0.187,129.308,0.494,48.892,1.231,19.604,0.288,83.784,1.519,15.886
