File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput
SNOWHICE_1_1800_3600.f32,CESM,0.538,44.906,0.183,131.616,0.479,50.35,1.201,20.108,0.29,83.212,1.491,16.192
ODV_SSLTA_1_1800_3600.f32,CESM,0.541,44.686,0.178,135.8,0.464,52.056,1.182,20.422,0.258,93.696,1.44,16.768
ODV_dust2_1_1800_3600.f32,CESM,0.539,44.834,0.184,131.498,0.467,51.728,1.189,20.298,0.26,92.934,1.449,16.66
PCONVB_1_1800_3600.f32,CESM,0.534,45.184,0.184,131.04,0.475,50.83,1.194,20.226,0.164,147.522,1.357,17.786
PRECSL_1_1800_3600.f32,CESM,0.531,45.486,0.182,132.526,0.476,50.758,1.189,20.31,0.235,102.814,1.423,16.96
PRECL_1_1800_3600.f32,CESM,0.526,45.89,0.187,129.396,0.48,50.242,1.193,20.232,0.224,107.726,1.417,17.034
CLDTOT_1_1800_3600.f32,CESM,0.558,43.292,0.194,124.526,0.49,49.266,1.242,19.446,0.216,111.976,1.457,16.568
PRECCDZM_1_1800_3600.f32,CESM,0.544,44.398,0.186,129.69,0.481,50.154,1.212,19.926,0.222,108.502,1.434,16.838
FSDTOA_1_1800_3600.f32,CESM,0.535,45.148,0.188,128.17,0.469,51.518,1.192,20.26,0.051,472.03,1.243,19.424
LANDFRAC_1_1800_3600.f32,CESM,0.531,45.506,0.178,135.444,0.474,50.954,1.183,20.414,0.296,81.768,1.478,16.33
TGCLDLWP_1_1800_3600.f32,CESM,0.527,45.774,0.185,130.816,0.479,50.358,1.191,20.266,0.266,90.884,1.457,16.568
FSNS_1_1800_3600.f32,CESM,0.528,45.688,0.186,129.608,0.483,49.952,1.198,20.154,0.254,95.026,1.452,16.628
AEROD_v_1_1800_3600.f32,CESM,1.018,36.664,0.391,111.008,0.621,45.328,2.03,17.014,0.256,94.236,2.287,14.138
ODV_bcar1_1_1800_3600.f32,CESM,0.533,45.334,0.176,137.41,0.466,51.824,1.174,20.56,0.258,93.736,1.432,16.862
ODV_dust4_1_1800_3600.f32,CESM,0.526,45.854,0.18,134.086,0.467,51.712,1.173,20.572,0.258,93.704,1.431,16.87
TS_1_1800_3600.f32,CESM,0.525,45.982,0.184,131.286,0.475,50.846,1.184,20.394,0.185,130.148,1.369,17.632
LHFLX_1_1800_3600.f32,CESM,0.533,45.278,0.186,129.602,0.474,50.98,1.193,20.234,0.28,86.26,1.473,16.388
PRECT_1_1800_3600.f32,CESM,0.535,45.114,0.191,126.552,0.48,50.33,1.206,20.024,0.215,112.078,1.421,16.986
CLDLOW_1_1800_3600.f32,CESM,0.556,43.458,0.19,127.104,0.488,49.506,1.233,19.574,0.272,88.666,1.506,16.034
SNOWHLND_1_1800_3600.f32,CESM,0.546,44.208,0.185,130.766,0.477,50.564,1.208,19.978,0.29,83.258,1.498,16.112
ODV_dust3_1_1800_3600.f32,CESM,0.529,45.626,0.179,134.59,0.467,51.748,1.175,20.544,0.258,93.53,1.433,16.844
TROP_P_1_1800_3600.f32,CESM,0.527,45.85,0.184,130.954,0.472,51.096,1.183,20.4,0.06,404.946,1.243,19.42
PBLH_1_1800_3600.f32,CESM,0.539,44.828,0.185,130.262,0.478,50.502,1.202,20.084,0.243,99.188,1.446,16.702
FLUT_1_1800_3600.f32,CESM,0.54,44.702,0.189,127.864,0.478,50.472,1.207,19.996,0.145,166.282,1.352,17.85
FLUTC_1_1800_3600.f32,CESM,0.54,44.73,0.191,126.736,0.475,50.838,1.206,20.024,0.194,124.41,1.4,17.25
TREFMXAV_1_1800_3600.f32,CESM,0.536,45.08,0.191,126.864,0.478,50.534,1.204,20.046,0.118,204.178,1.323,18.254
CLDMED_1_1800_3600.f32,CESM,0.57,42.39,0.194,124.676,0.49,49.252,1.254,19.256,0.264,91.752,1.518,15.912
RHREFHT_1_1800_3600.f32,CESM,0.53,45.548,0.186,129.682,0.477,50.614,1.193,20.232,0.196,122.95,1.39,17.372
TROP_Z_1_1800_3600.f32,CESM,0.527,45.792,0.186,130.158,0.471,51.274,1.184,20.398,0.092,262.514,1.276,18.926
FSNT_1_1800_3600.f32,CESM,0.541,44.6,0.19,127.326,0.484,49.926,1.214,19.878,0.231,104.378,1.446,16.696
FLNSC_1_1800_3600.f32,CESM,0.546,44.226,0.191,126.838,0.479,50.41,1.215,19.864,0.276,87.588,1.491,16.19
TGCLDIWP_1_1800_3600.f32,CESM,0.528,45.684,0.186,129.65,0.483,50.03,1.197,20.166,0.223,108.47,1.42,17.004
ODV_SSLTC_1_1800_3600.f32,CESM,0.533,45.322,0.182,132.992,0.464,52.048,1.179,20.486,0.261,92.608,1.44,16.772
TSMX_1_1800_3600.f32,CESM,0.524,46.08,0.184,131.156,0.477,50.606,1.185,20.37,0.201,120.242,1.386,17.422
ODV_ocar1_1_1800_3600.f32,CESM,0.541,44.66,0.181,133.736,0.465,51.92,1.187,20.348,0.257,93.88,1.444,16.722
PS_1_1800_3600.f32,CESM,0.534,45.222,0.184,131.218,0.475,50.834,1.193,20.232,0.162,148.992,1.355,17.816
OCNFRAC_1_1800_3600.f32,CESM,0.524,46.09,0.181,133.046,0.473,50.998,1.179,20.482,0.295,81.98,1.474,16.384
PRECSC_1_1800_3600.f32,CESM,0.525,46.008,0.182,132.506,0.472,51.126,1.179,20.474,0.215,112.3,1.394,17.318
FLDS_1_1800_3600.f32,CESM,0.546,44.228,0.188,128.22,0.475,50.81,1.209,19.962,0.115,209.81,1.324,18.226
TROP_T_1_1800_3600.f32,CESM,0.536,45.038,0.188,128.656,0.473,51.094,1.196,20.182,0.064,382.326,1.26,19.164
FSNTC_1_1800_3600.f32,CESM,0.538,44.864,0.187,129.076,0.477,50.628,1.202,20.084,0.222,108.91,1.424,16.956
SOLIN_1_1800_3600.f32,CESM,0.549,44.04,0.187,129.082,0.474,50.932,1.21,19.964,0.05,483.274,1.26,19.172
TREFMNAV_1_1800_3600.f32,CESM,0.529,45.68,0.187,129.346,0.483,50.052,1.198,20.156,0.141,171.646,1.338,18.038
FREQSH_1_1800_3600.f32,CESM,0.543,44.462,0.188,128.278,0.491,49.15,1.222,19.748,0.274,87.958,1.497,16.126
FLDSC_1_1800_3600.f32,CESM,0.543,44.452,0.188,128.362,0.473,51.022,1.204,20.044,0.113,214.026,1.317,18.326
TSMN_1_1800_3600.f32,CESM,0.529,45.64,0.185,130.188,0.479,50.394,1.194,20.226,0.249,96.812,1.443,16.73
FSNTOA_1_1800_3600.f32,CESM,0.536,45.062,0.187,129.206,0.481,50.166,1.204,20.052,0.231,104.552,1.435,16.826
FSUTOA_1_1800_3600.f32,CESM,0.545,44.328,0.188,128.432,0.483,49.94,1.216,19.85,0.269,89.794,1.485,16.252
CLDHGH_1_1800_3600.f32,CESM,0.547,44.17,0.186,129.792,0.486,49.666,1.219,19.808,0.232,104.056,1.451,16.642
